x1,Generation,Column2
59 St.  GT 1,0.0,0.0
74 St.  GT 1,0.0,0.0
74 St.  GT 2,0.0,0.0
Allegany,11.0,11.0
Allied Frozen Storage,0.0,0.0
Arthur Kill Cogen,11.1,11.1
Arthur Kill GT 1,20.0,20.0
Arthur Kill ST 2,349.0,349.0
Arthur Kill ST 3,539.0,539.0
Astoria 2,153.0,153.0
Astoria 3,40.0,40.0
Astoria 5,2.0,357.40000000001606
Astoria CC 1,318.0,318.0
Astoria CC 2,320.0,320.0
Astoria East Energy - CC1,313.0,313.0
Astoria East Energy - CC2,313.0,313.0
Astoria Energy 2 - CC3,313.0,313.0
Astoria Energy 2 - CC4,313.0,313.0
Astoria GT 01,16.0,15.999999999999998
Astoria GT 2-1,0.0,0.0
Astoria GT 2-2,0.0,0.0
Astoria GT 2-3,0.0,0.0
Astoria GT 2-4,0.0,0.0
Astoria GT 3-1,0.0,0.0
Astoria GT 3-2,0.0,0.0
Astoria GT 3-3,0.0,0.0
Astoria GT 3-4,0.0,0.0
Astoria GT 4-1,0.0,0.0
Astoria GT 4-2,0.0,0.0
Astoria GT 4-3,0.0,0.0
Astoria GT 4-4,0.0,0.0
Athens 1,390.0,389.99999999999994
Athens 2,378.0,377.99999999999994
Athens 3,269.45,392.0
Barrett 03,1.0,1.0
Barrett 04,1.0,1.0
Barrett 05,1.0,1.0
Barrett 06,1.0,1.0
Barrett 08,1.0,1.0
Barrett 09,0.0,0.0
Barrett 10,0.0,0.0
Barrett 11,0.0,0.0
Barrett 12,0.0,0.0
Barrett GT 01,1.0,1.0
Barrett GT 02,1.0,1.0
Barrett ST 01,209.0,49.0
Barrett ST 02,200.99999999999997,48.0
Batavia,9.0,9.0
Beaver Falls,98.0,98.0
Bethlehem Energy Center,115.99999999999999,115.99999999999999
Bethpage,61.0,61.0
Bethpage 3,83.0,83.0
Bethpage GT4,14.000000000000002,14.000000000000002
Binghamton (RET - 1/9/18),0.0,0.0
Bowline 1,621.0,621.0000000000001
Bowline 2,253.52606484183661,593.0
Brentwood,15.0,15.0
Brooklyn Navy Yard,240.0,240.0
"Burrstone Engy Center, LLC LU",0.0,0.0
"Burrstone Engy Center, LLC U",0.0,0.0
CPV_VALLEY___CC1,361.0,361.00000000000006
CPV_VALLEY___CC2,362.0,362.00000000000006
Caithness_CC_1,373.0,373.0
Carr St.-E. Syr,15.0,15.0
Carthage Energy,61.0,61.0
Castleton Energy Center,39.0,39.0
Cayuga 1,59.0,59.0
Charles P Keller 09,0.0,0.0
Charles P Keller 10,0.0,0.0
Charles P Keller 11,0.0,0.0
Charles P Keller 14,0.0,0.0
Coxsackie GT,0.0,0.0
Danskammer 1,7.000000000000001,7.000000000000001
Danskammer 2,7.75,7.75
Danskammer 3,147.0,147.0
Danskammer 4,243.00000000000003,243.00000000000003
EMPIRE_CC_1,327.0,327.0
EMPIRE_CC_2,327.0,327.0
East Hampton 2,0.0,0.0
East Hampton 3,0.0,0.0
East Hampton 4,0.0,0.0
East Hampton GT 01,0.0,0.0
East River 1,223.0,223.0
East River 2,227.0,227.0
Far Rockaway GT1,36.0,36.0
Far Rockaway GT2,23.5,23.5
Flynn,111.00000000000001,111.00000000000001
Fortistar - N.Tonawanda,12.0,12.0
Freeport 1-4,0.0,0.0
Freeport 2-3,0.0,0.0
Freeport CT 1,0.0,0.0
Freeport CT 2,51.0,1.0
General Mills Inc,0.0,0.0
Glenwood GT 02,6.45,6.45
Glenwood GT 03,7.200000000000001,7.200000000000001
Glenwood GT 04,49.0,1.0
Glenwood GT 05,50.0,2.0
Gowanus 1-1,0.0,0.0
Gowanus 1-2,0.0,0.0
Gowanus 1-3,0.0,0.0
Gowanus 1-4,0.0,0.0
Gowanus 1-5,0.0,0.0
Gowanus 1-6,0.0,0.0
Gowanus 1-7,0.0,0.0
Gowanus 2-1,0.0,0.0
Gowanus 2-2,0.0,0.0
Gowanus 2-3,0.0,0.0
Gowanus 2-4,0.0,0.0
Gowanus 2-5,0.0,0.0
Gowanus 2-6,0.0,0.0
Gowanus 2-7,0.0,0.0
Gowanus 2-8,0.0,0.0
Gowanus 3-1,0.0,0.0
Gowanus 3-2,0.0,0.0
Gowanus 3-3,0.0,0.0
Gowanus 3-4,0.0,0.0
Gowanus 3-5,0.0,0.0
Gowanus 3-6,0.0,0.0
Gowanus 3-7,0.0,0.0
Gowanus 3-8,0.0,0.0
Gowanus 4-1,0.0,0.0
Gowanus 4-2,0.0,0.0
Gowanus 4-3,0.0,0.0
Gowanus 4-4,0.0,0.0
Gowanus 4-5,0.0,0.0
Gowanus 4-6,0.0,0.0
Gowanus 4-8,0.0,0.0
Gowanus 5,19.0,44.0
Gowanus 6,43.0,43.0
Greenidge 4,36.0,36.0
Greenport GT1,21.0,20.999999999999996
Harlem River 1,18.0,43.0
Harlem River 2,17.5,43.0
Hellgate 1,17.0,43.0
Hellgate 2,16.0,43.0
Hillburn GT,1.0,1.0
Holtsville 01,1.0,1.0
Holtsville 02,1.0,1.0
Holtsville 03,1.0,1.0
Holtsville 04,1.0,1.0
Holtsville 05,1.0,1.0
Holtsville 06,1.0,1.0
Holtsville 07,1.0,1.0
Holtsville 08,1.0,1.0
Holtsville 09,1.0,1.0
Holtsville 10,1.0,1.0
Hudson Ave 3,0.0,0.0
Hudson Ave 4,0.0,0.0
Hudson Ave 5,0.0,0.0
Indeck-Corinth,140.0,140.0
Indeck-Olean,84.0,18.0
Indeck-Oswego,61.0,23.499132480047784
Indeck-Silver Springs,60.0,6.0
Indeck-Yerkes,41.10163412362535,4.0
Independence,1218.0,1218.0
Jamestown 5,0.0,0.0
Jamestown 6,0.0,0.0
Jamestown 7,46.0,46.0
Kent,65.0,65.0
KIAC_JFK_GT1,71.0,71.0
KIAC_JFK_GT2,49.0,48.99999999999999
Lockport,28.000000000000004,28.000000000000004
Massena,55.00000000000001,55.00000000000001
Narrows 1-1,0.0,0.0
Narrows 1-2,0.0,0.0
Narrows 1-3,0.0,0.0
Narrows 1-4,0.0,0.0
Narrows 1-5,0.0,0.0
Narrows 1-6,0.0,0.0
Narrows 1-7,0.0,0.0
Narrows 1-8,0.0,0.0
Narrows 2-1,0.0,0.0
Narrows 2-2,0.0,0.0
Narrows 2-3,0.0,0.0
Narrows 2-4,0.0,0.0
Narrows 2-5,0.0,0.0
Narrows 2-6,0.0,0.0
Narrows 2-7,0.0,0.0
Narrows 2-8,0.0,0.0
Nassau Energy Corporation,53.0,53.0
Northport 1,409.99999999999994,409.99999999999994
Northport 2,409.99999999999994,238.3285029484626
Northport 3,411.00000000000006,411.00000000000006
Northport 4,413.0,413.0
Northport GT,0.0,0.0
Oswego 5,39.15,39.15
Oswego 6,25.45,25.45
Pilgrim GT1,13.699999999999998,13.699999999999998
Pilgrim GT2,5.15,5.15
Pinelawn Power 1,81.0,81.0
Port Jefferson 3,45.0,45.0
Port Jefferson 4,45.0,45.0
Port Jefferson GT 02,10.0,10.0
Port Jefferson GT 03,11.0,11.0
Pouch,48.0,48.0
Ravenswood 01,18.6,18.600000000000005
Ravenswood 10,0.0,0.0
Ravenswood 11,0.0,0.0
Ravenswood CC 04,286.0,286.0
Ravenswood ST 01,1.0,1.0
Ravenswood ST 02,3.0,3.0
Ravenswood ST 03,1.0,1.0
Rensselaer,12.0,84.0
Roseton 1,30.3,30.3
Roseton 2,30.8,30.8
S Hampton 1,0.0,0.0
Saranac Energy,266.388332062242,187.6816661408676
Selkirk-I,0.0,0.0
Selkirk-II,54.6,54.6
Shoemaker GT,0.0,0.0
Shoreham 1,0.0,0.0
Shoreham 2,0.0,0.0
Shoreham GT3,0.0,0.0
Shoreham GT4,0.0,0.0
Somerset,731.0,731.0
South Cairo,0.0,0.0
Southold 1,0.0,0.0
St. Elizabeth Medical Center,0.0,0.0
Sterling,15.0,15.0
Stony Brook   (BTM:NG),46.0,46.0
Syracuse,102.0,102.0
Vernon Blvd 2,18.5,43.0
Vernon Blvd 3,15.0,42.0
Wading River 1,9.0,9.0
Wading River 2,7.8,7.8
Wading River 3,4.0,4.0
West Babylon 4,3.0,3.0
GinnaGen,581.7,581.7
FitzPatrickGen,854.5,854.5
NineMilePoint1Gen,629.0,628.9999999999999
NineMilePoint2Gen,1299.0,1299.0
IndianPoint2Gen,1025.9,1025.9
IndianPoint3Gen,1039.9,1039.9
Robert Moses Niagara,2460.0,2460.0000000000005
Agg_Hydro1,63.800000000000004,63.800000000000004
Agg_Hydro2,71.4,71.4
Agg_Hydro3,38.0,37.99999999999999
StLawrence,856.0,856.0
Agg_Hydro4,58.8,58.80000000000001
Agg_Hydro5,28.6,28.6
Agg_Hydro6,347.7,347.69999999999993
Agg_Hydro7,269.6,269.6
Agg_Hydro8,75.8,75.8
AggGen1,2663.491356,2663.49135563063
AggGen2,2589.733133,0.0
AggGen3,0.0,0.0
AggGen4,0.0,0.0
AggGen5,2868.375306,2369.2211884226153
AggGen6,0.0,2294.7002448510048
AggGen7,3278.143207,3278.1432069300054
AggGen8,1737.1530964954225,2212.746664677755
AggGen9,2270.114171,2270.1141707990296
AggGen10,7430.622682000001,201.69756911273709
AggGen11,1687.822104578521,4188.169148171197
AggGen12,0.0,2026.533458792514
AggGen13,0.0,2702.0446117233546
AggGen14,2634.493496,2634.4934964302697
AggGen15,5404.089223,5404.0892234467065
AggGen16,0.0,0.0
AggGen17,2317.139917,0.0
AggGen18,2949.087168,0.0
AggGen19,0.0,0.0
AggGen20,0.0,0.0
AggGen21,2609.0099445631195,0.0
AggGen22,2064.361017,5.756196116783485
AggGen23,7162.068834999999,7162.0688354791555
AggGen24,1310.651044368246,801.9941697486141
AggGen25,0.0,9816.24728627437
AggGen26,0.0,294.90871675502393
AggGen27,0.0,484.4928918118228
Hqimport,1500.0,1500.0
