from,to,r,x,b,rating_A,rating_B,rating_C,tap,shift,status,angmin,angmax
A,IESO,0,0,0,1300,1300,1300,0,0,1,-360,360
C,PJM,0,0,0,975,975,975,0,0,1,-360,360
D,IESO,0,0,0,450,450,450,0,0,1,-360,360
G,PJM,0,0,0,2000,2000,2000,0,0,1,-360,360
F,ISONE,0,0,0,200,200,200,0,0,1,-360,360
G,ISONE,0,0,0,1400,1400,1400,0,0,1,-360,360
A,B,0,0,0,9999,9999,,0,0,1,-360,360
B,C,0,0,0,9999,9999,,0,0,1,-360,360
E,F,0,0,0,9999,9999,,0,0,1,-360,360
D,E,0,0,0,9999,1600,,0,0,1,-360,360
E,G,0,0,0,9999,1600,,0,0,1,-360,360
F,G,0,0,0,9999,5400,,0,0,1,-360,360
G,H,0,0,0,9999,9999,,0,0,1,-360,360
H,I,0,0,0,9999,8450,,0,0,1,-360,360
I,J,0,0,0,9999,9999,,0,0,1,-360,360
I,K,0,0,0,9999,515,,0,0,1,-360,360