index,mapping,sign
1,53-55,-1
1,54-52,1
1,54-62,1
1,58-62,1
2,50-52,-1
2,51-53,-1
2,53-65,1
2,62-63,1
3,43-50,-1
3,45-51,-1
3,45-71,-1
3,66-69,1
3,69-71,-1
4,47-48,-1
4,44-48,-1
4,46-49,-1
5,41-45,-1
5,40-44,-1
5,37-38,-1
5,37-43,-1
6,38-77,1
7,37-39,1
8,73-74,1
8,74-77,-1
9,74-78,1
10,78-81,1
10,78-82,1
11,78-79,1
11,78-80,1
12,41-45,-1
12,40-44,-1
12,37-38,-1
12,37-43,-1
12,38-77,1
13,29-37,-1
13,35-73,-1
14,48-100,1
14,54-102,1
14,54-103,1
15,66-134,1
15,67-138,1